"","location","elevation","elev_units","coords.x1","coords.x2","optional"
"1759","234-NW",245,"meters",-113.046516,58.418022,TRUE
"1760","235-NW",222,"meters",-112.75727,58.367568,TRUE
"1761","360-NW",413,"meters",-110.709099,57.468082,TRUE
"1762","388-NW",310,"meters",-111.48172,57.341125,TRUE
"1763","389-NW",367,"meters",-111.113747,57.299912,TRUE
"1764","412-NW",789,"meters",-113.492157,57.38126,TRUE
"1765","472-NW",604,"meters",-113.571747,56.993167,TRUE
"1766","473-NW",539,"meters",-113.249763,57.02507,TRUE
"1767","474-NW",519,"meters",-112.872215,56.952861,TRUE
"1768","543-NW",455,"meters",-110.807022,56.367294,TRUE
"1769","576-NW",468,"meters",-110.32367,56.107593,TRUE
"1770","632-NW",502,"meters",-112.605103,55.979862,TRUE
"1771","825-NW",641,"meters",-111.665276,54.811954,TRUE
"1772","855-NW",594,"meters",-112.363113,54.682022,TRUE
"1773","856-NW",580,"meters",-112.058853,54.65763,TRUE
"1774","991-NW",613,"meters",-111.167091,53.823879,TRUE
"1775","1022-NW",611,"meters",-111.788589,53.676139,TRUE
"1776","1024-NW",616,"meters",-111.22509,53.639076,TRUE
"1777","14-NW",251,"meters",-112.230896,59.796966,TRUE
"1778","329-NW",266,"meters",-111.269035,57.668869,TRUE
"1779","32-NW",275,"meters",-112.604416,59.677497,TRUE
"1780","359-NW",328,"meters",-111.054222,57.454883,TRUE
"1781","390-NW",577,"meters",-110.721565,57.268985,TRUE
"1782","413-NW",682,"meters",-113.110275,57.323272,TRUE
"1783","414-NW",737,"meters",-112.846794,57.294983,TRUE
"1784","442-NW",766,"meters",-113.577225,57.201564,TRUE
"1785","443-NW",636,"meters",-113.191315,57.134647,TRUE
"1786","514-NW",501,"meters",-110.065025,56.463573,TRUE
"1787","545-NW",483,"meters",-110.207954,56.264293,TRUE
"1788","664-NW",532,"meters",-112.605179,55.852993,TRUE
"1789","794-NW",762,"meters",-111.336494,54.970066,TRUE
"1790","856-NW",580,"meters",-112.058853,54.65763,TRUE
"1791","1023-NW",657,"meters",-111.449608,53.671288,TRUE
"1792","1024-NW",616,"meters",-111.22509,53.639076,TRUE
"1793","1056-NW",656,"meters",-111.814735,53.557827,TRUE
"1794","1057-NW",673,"meters",-111.518913,53.477196,TRUE
"1795","15-NW",215,"meters",-111.907753,59.783935,TRUE
"1796","236-NW",220,"meters",-112.436066,58.374332,TRUE
"1797","265-NW",361,"meters",-112.842941,58.207672,TRUE
"1798","2-NW",193,"meters",-112.202679,59.970813,TRUE
"1799","329-NW",266,"meters",-111.269035,57.668869,TRUE
"1800","390-NW",577,"meters",-110.721565,57.268985,TRUE
"1801","413-NW",682,"meters",-113.110275,57.323272,TRUE
